method,k_setting,k_pred,client_avg_acc,micro_acc,client_avg_macro_f1,global_macro_f1
IFCA,2,2,0.7946000000000001,0.7946,0.614260401155745,0.7661785498999921
IFCA,3,3,0.8183999999999999,0.8184,0.5986120109598851,0.7797762421177082
IFCA-oracleK,4,4,0.8275,0.8275,0.5500209416208444,0.8062299490019663
IFCA,5,4,0.8287,0.8287,0.5842649132538353,0.8102711999878048
IFCA,6,4,0.8275999999999999,0.8276,0.5720362616114115,0.8106138075259702
IFCA,8,4,0.8019,0.8019,0.5587675515017123,0.7778404819451212
